"","Country.Code","percountry_indicators"
"1","ABW",683
"2","AFG",1271
"3","AGO",1362
"4","ALB",1400
"5","AND",607
"6","ARE",1072
"7","ARG",1319
"8","ARM",1399
"9","ASM",399
"10","ATG",904
"11","AUS",1114
"12","AUT",1117
"13","AZE",1392
"14","BDI",1331
"15","BEL",1144
"16","BEN",1344
"17","BFA",1381
"18","BGD",1459
"19","BGR",1287
"20","BHR",1124
"21","BHS",1036
"22","BIH",1341
"23","BLR",1315
"24","BLZ",1297
"25","BMU",713
"26","BOL",1370
"27","BRA",1349
"28","BRB",1108
"29","BRN",1032
"30","BTN",1290
"31","BWA",1369
"32","CAF",1269
"33","CAN",1142
"34","CHE",1113
"35","CHI",214
"36","CHL",1281
"37","CHN",1246
"38","CIV",1441
"39","CMR",1398
"40","COD",1380
"41","COG",1354
"42","COL",1451
"43","COM",1201
"44","CPV",1270
"45","CRI",1427
"46","CUB",999
"47","CUW",527
"48","CYM",645
"49","CYP",1185
"50","CZE",1195
"51","DEU",1148
"52","DJI",1195
"53","DMA",914
"54","DNK",1137
"55","DOM",1377
"56","DZA",1249
"57","ECU",1383
"58","EGY",1380
"59","ERI",1038
"60","ESP",1168
"61","EST",1236
"62","ETH",1390
"63","FIN",1135
"64","FJI",1251
"65","FRA",1117
"66","FRO",390
"67","FSM",893
"68","GAB",1247
"69","GBR",1175
"70","GEO",1420
"71","GHA",1466
"72","GIB",323
"73","GIN",1344
"74","GMB",1399
"75","GNB",1268
"76","GNQ",1034
"77","GRC",1212
"78","GRD",976
"79","GRL",440
"80","GTM",1369
"81","GUM",429
"82","GUY",1192
"83","HKG",994
"84","HND",1404
"85","HRV",1276
"86","HTI",1217
"87","HUN",1265
"88","IDN",1462
"89","IMN",226
"90","IND",1405
"91","IRL",1147
"92","IRN",1255
"93","IRQ",1358
"94","ISL",1121
"95","ISR",1176
"96","ITA",1153
"97","JAM",1323
"98","JOR",1360
"99","JPN",1059
"100","KAZ",1345
"101","KEN",1403
"102","KGZ",1426
"103","KHM",1398
"104","KIR",1034
"105","KNA",886
"106","KOR",1210
"107","KWT",1120
"108","LAO",1364
"109","LBN",1265
"110","LBR",1207
"111","LBY",1012
"112","LCA",1136
"113","LIE",390
"114","LKA",1383
"115","LSO",1383
"116","LTU",1232
"117","LUX",1104
"118","LVA",1241
"119","MAC",880
"120","MAF",147
"121","MAR",1391
"122","MCO",417
"123","MDA",1396
"124","MDG",1424
"125","MDV",1256
"126","MEX",1433
"127","MHL",939
"128","MKD",1353
"129","MLI",1373
"130","MLT",1184
"131","MMR",1267
"132","MNE",1216
"133","MNG",1387
"134","MNP",268
"135","MOZ",1358
"136","MRT",1281
"137","MUS",1317
"138","MWI",1283
"139","MYS",1288
"140","NAM",1334
"141","NCL",628
"142","NER",1365
"143","NGA",1265
"144","NIC",1342
"145","NLD",1144
"146","NOR",1121
"147","NPL",1413
"148","NRU",736
"149","NZL",1139
"150","OMN",1121
"151","PAK",1423
"152","PAN",1308
"153","PER",1434
"154","PHL",1441
"155","PLW",878
"156","PNG",1282
"157","POL",1246
"158","PRI",683
"159","PRK",588
"160","PRT",1258
"161","PRY",1416
"162","PSE",1130
"163","PYF",613
"164","QAT",1085
"165","ROU",1333
"166","RUS",1222
"167","RWA",1448
"168","SAU",1174
"169","SDN",1300
"170","SEN",1411
"171","SGP",1199
"172","SLB",1211
"173","SLE",1360
"174","SLV",1421
"175","SMR",716
"176","SOM",1072
"177","SRB",1340
"178","SSD",1047
"179","STP",1068
"180","SUR",1136
"181","SVK",1201
"182","SVN",1175
"183","SWE",1140
"184","SWZ",1344
"185","SXM",405
"186","SYC",1133
"187","SYR",1164
"188","TCA",560
"189","TCD",1334
"190","TGO",1412
"191","THA",1369
"192","TJK",1356
"193","TKM",969
"194","TLS",1313
"195","TON",1187
"196","TTO",1149
"197","TUN",1361
"198","TUR",1349
"199","TUV",797
"200","TZA",1438
"201","UGA",1375
"202","UKR",1369
"203","URY",1299
"204","USA",1172
"205","UZB",1324
"206","VCT",1033
"207","VEN",1152
"208","VGB",389
"209","VIR",415
"210","VNM",1369
"211","VUT",1261
"212","WSM",1250
"213","XKX",726
"214","YEM",1257
"215","ZAF",1375
"216","ZMB",1362
"217","ZWE",1376
